file_name,original_sentence,cleaned_sentence,sentence_embedding,codes,themes,practices,social,study vs product,system perception,system use,value judgements
text/nvivo/good.docx,"It was definitely useful, but as it is, I would not sign up to it as it is.",It definitely useful I would sign,"[ 2.53759802e-02  2.73337388e-02 -1.68066205e-02 -1.81929982e-02
  9.58877951e-03  6.13799989e-03  8.57411993e-02 -3.63351797e-02
  1.49435204e-02  5.51711203e-02  1.40712003e-02  7.65485972e-03
 -6.01750002e-01 -3.65899405e-02 -2.28187197e-02  3.14834403e-02
  2.54478003e-02 -1.63679400e-02 -2.02196005e-02 -2.46574804e-02
  1.96349809e-02  8.54597971e-03 -5.12259677e-04  2.36581999e-02
 -2.79250446e-02  8.91772002e-02  2.64547005e-02  9.85480040e-03
  5.16433391e-02 -1.54700405e-02  1.46589996e-02  4.30352997e-02
  1.34778593e-02 -2.33407801e-02  6.21120800e-02  4.61497989e-02
 -5.92040002e-03 -3.39786015e-03  1.08781201e-02  3.49186996e-02
 -5.20967993e-02 -3.51959944e-03  5.42666601e-02  6.62808053e-03
  3.02946603e-02 -3.48609396e-02  2.71523996e-02 -9.45618450e-03
 -6.82352000e-02 -2.09168001e-02]",good,value judgements,0,0,0,0,0,1
text/nvivo/good.docx,But I know you said that it's just very early days of kind of prototype.,But I know said early days kind prototype,"[ 2.60174402e-02  5.21644199e-02 -1.03355402e-02 -4.68400270e-04
 -3.18720031e-02  2.70808011e-02  1.19797000e-01 -2.34465407e-02
  7.97860041e-03  5.25323002e-02 -2.73468603e-02  1.93048060e-03
 -7.51842000e-01  2.85587106e-02 -3.77519797e-02  3.33537973e-03
  5.94580173e-04 -1.12230003e-02 -9.59604198e-02 -2.00201403e-02
 -1.98340195e-02  2.61219199e-02  3.63252005e-02  2.41822003e-02
  6.41522001e-03  9.05527985e-02  1.06084003e-02 -3.93683192e-02
  2.25005998e-02 -3.19316001e-02 -3.03965397e-02  4.23721999e-02
 -1.19783198e-02 -1.64417998e-02  3.59115170e-02  6.64214598e-02
 -6.26818395e-02 -4.34271984e-03  3.44638195e-02  2.36149203e-02
 -9.83307981e-02  3.09088010e-02  5.32662590e-02  4.06462601e-02
 -1.07554004e-02 -3.82869196e-02  6.89230592e-02 -1.47688598e-02
 -7.26243801e-02  3.90640404e-02]",good,value judgements,0,0,0,0,0,1
text/nvivo/good.docx,"The communication was useful from it, I guess, I always knew when stuff was going to arrive and when I had reordered.",The communication useful I guess I always knew stuff going arrive I reordered,"[ 6.46811800e-02  7.70004595e-02 -2.79696280e-02  3.86801954e-03
 -8.38519901e-03  4.05308193e-02  1.59306041e-01 -6.27730000e-02
  3.31200005e-02  9.55267201e-02 -4.04107296e-02 -1.10550405e-02
 -1.15284002e+00  1.52525604e-02 -8.02239589e-02  2.98259990e-02
  1.04394605e-02 -3.50278797e-02 -1.20398601e-01 -2.91707201e-02
  4.97988009e-02 -1.00963807e-02  1.20029453e-03  3.48423200e-02
 -6.32813801e-02  7.84821996e-02 -6.65727988e-03  8.75928029e-03
  5.65193010e-02 -3.36004014e-02 -1.64286415e-02  2.10721083e-04
 -2.70789785e-02 -3.23687395e-02  4.36998844e-02  9.69358989e-02
 -3.78254801e-02 -6.06107946e-03  6.76858617e-02  7.49567001e-02
 -1.37595198e-01  8.06722006e-02  5.87483609e-02  1.52768609e-02
 -7.33019337e-04 -4.10235808e-02  9.37171193e-02 -3.95441259e-03
 -7.66674995e-02 -4.13869996e-02]",good,value judgements,0,0,0,0,0,1
text/nvivo/good.docx,"IV1	You mean the message, notification?",You mean message notification,"[ 0.04210296  0.0415996  -0.04058408  0.0362712  -0.001062   -0.02195904
  0.0937362  -0.0189496   0.01446706  0.03149652 -0.01745604 -0.03539932
 -0.337808   -0.0740038  -0.0630156   0.056937    0.0112264  -0.028149
 -0.0153488  -0.0174605  -0.0116444  -0.00915976  0.00603328  0.0180624
 -0.03211794  0.0080298   0.0122978  -0.01920943  0.01534578  0.024743
 -0.03893576  0.00954942 -0.00688308 -0.02777794  0.0277754   0.02629036
 -0.0049624   0.0033141   0.03254778  0.00204042 -0.035727   -0.0140322
  0.0166262   0.00131024 -0.01692274 -0.031229   -0.0067656  -0.04288046
 -0.0013538   0.014092  ]",good; notification,system use; value judgements,0,0,0,0,1,1
text/nvivo/good.docx,"P1	Yes, that was quite useful.",Yes quite useful,"[ 0.030537    0.00737618 -0.0067214   0.01254924  0.0252694   0.0379168
  0.038913   -0.0304634  -0.0107986   0.0180949   0.00335956 -0.01026882
 -0.21831    -0.0305642  -0.0189034   0.0260348   0.0424148  -0.0169745
 -0.018225   -0.00030474 -0.00029572 -0.00112688 -0.01746534  0.0185358
 -0.0366716   0.0247532  -0.0067509   0.00716731  0.04251756 -0.0328578
  0.0127454   0.02157112  0.0220634  -0.0204548   0.0253824   0.0329966
 -0.0207166  -0.00959018 -0.00155254  0.0063324  -0.0187524   0.0030736
  0.035773    0.0253666   0.02102304 -0.00939732  0.00412628  0.0284292
 -0.051685   -0.002072  ]",good; notification,system use; value judgements,0,0,0,0,1,1
text/nvivo/good.docx,"So no, really.",So really,"[ 0.0189338   0.0030764   0.015539   -0.010482   -0.0128818   0.0261022
  0.0401738   0.0004378   0.0105722   0.00676202 -0.0081058  -0.0015214
 -0.219422   -0.0213688  -0.0055184   0.000511    0.0029601  -0.0183552
 -0.0293868  -0.0169598   0.0168344   0.007993   -0.0011582   0.0391778
 -0.0188196   0.0217198  -0.0011164   0.0113774   0.011565   -0.0178314
 -0.0096891   0.0162966   0.00609894 -0.00444602 -0.0173778   0.0029748
 -0.0260976  -0.019164   -0.0127186   0.01242039 -0.0563578   0.00217758
  0.006099    0.0147308  -0.011856   -0.021237    0.0200352  -0.0094612
 -0.0380206  -0.00685228]",good; notification,system use; value judgements,0,0,0,0,1,1
text/nvivo/good.docx,"Because I'm, like, I've got no food, oh wait, there's been a delivery of pasta, which is nice.",Because Im like Ive got food oh wait theres delivery pasta nice,"[ 2.74157795e-02  7.48778601e-02  2.54230782e-02 -3.41913122e-02
  2.88430050e-03 -7.91370116e-03  1.60524199e-01  4.22360599e-04
  8.86778321e-02  9.56171992e-02 -2.73380796e-02 -3.43512194e-02
 -1.02812800e+00  1.33655804e-02 -7.63000005e-02  5.79844019e-02
  9.52029652e-02 -1.18378539e-01 -1.58795057e-01 -2.03953402e-02
 -7.33632166e-03  1.28359723e-02 -5.34628825e-03  6.29390205e-02
 -1.19572003e-02  9.68483794e-02 -1.79532251e-02 -3.89922397e-02
  8.05400407e-02 -1.41629601e-01 -8.84805995e-02  8.39901985e-02
 -5.41160531e-02 -1.58771800e-02 -1.06964410e-02  6.48544002e-02
 -4.53272794e-02  1.67676052e-04  1.14766797e-02  1.21577640e-01
 -2.04128299e-01  3.29777190e-02 -1.27570599e-02  9.61283701e-03
  6.99249795e-02 -4.93421192e-02  1.40189168e-01  3.57091992e-02
 -8.58484799e-02  6.87067807e-02]",good,value judgements,0,0,0,0,0,1
text/nvivo/good.docx,It was fine.,It fine,"[-4.31781992e-03 -5.74260026e-03  8.99938032e-03  1.42642024e-02
  1.07638001e-03  1.51003798e-02  3.12709999e-02 -1.21960014e-03
  1.62038004e-02  4.32363999e-02  1.40960038e-03 -3.07999551e-05
 -2.00743999e-01 -1.42416006e-02 -1.41120017e-03 -3.19876008e-03
  1.83823997e-02  8.06059986e-04 -3.51246011e-02 -1.34566003e-02
 -1.59860030e-04 -6.53399974e-03  5.32318003e-03  2.25878006e-02
 -5.59458017e-03  2.15803999e-02  1.97087997e-02  1.54180050e-03
  1.10246001e-02 -1.73303999e-03 -8.40938017e-03  2.65621996e-02
 -1.70979999e-03  4.20100033e-03  3.96520019e-03  1.11471999e-02
 -1.06418002e-02  1.47823997e-02  6.07780010e-03  8.67100000e-03
 -4.37955999e-02 -4.43619996e-03  1.20702004e-02  1.86006799e-02
 -4.32294011e-03 -5.76319993e-03  6.18160028e-03  4.03840005e-03
 -1.98521996e-02 -2.02620029e-03]",good,value judgements,0,0,0,0,0,1
text/nvivo/good.docx,"There was once that I got really big tomatoes, which I don’t usually buy myself.",There I got really big tomatoes I dont usually buy,"[ 2.04494815e-02  4.80608540e-02  1.91453859e-03  4.24552079e-03
 -1.91667990e-02  6.05920076e-03  1.16468601e-01 -7.10154092e-03
  6.06963409e-02  1.12865800e-01 -4.42710599e-02  1.10870399e-02
 -9.92238007e-01 -1.50445400e-02 -5.36928002e-02  2.20983592e-02
  3.33350073e-03 -8.83386205e-02 -4.51317990e-02 -4.10684201e-02
  1.82008004e-02 -1.51703399e-02  7.18478803e-02  3.86884004e-02
 -4.96084198e-02  9.26169991e-02  4.91780147e-03  3.38188992e-02
  2.27614386e-02 -9.21878001e-02  1.93639901e-04  7.26502583e-02
 -3.97696604e-02  3.74307206e-02 -4.53238044e-03  6.08338010e-02
 -3.91960601e-02 -2.72990002e-02  3.42520013e-02  1.26561901e-01
 -1.49969019e-01  2.96205419e-02  2.35056190e-02 -1.30111925e-03
  2.43731812e-02 -7.97329792e-02  1.29772800e-01 -3.00520132e-02
 -8.13028814e-02  1.96883194e-02]",good,value judgements,0,0,0,0,0,1
text/nvivo/good.docx,"I still ate them, it was fine, a tomato is a tomato, but the rest of the time it was, like, nice ones.",I still ate fine tomato tomato rest time like nice ones,"[ 2.94496211e-02 -3.54782801e-02  9.81093985e-02 -1.45458916e-02
 -2.72661090e-02  5.65680793e-02  1.06395402e-01 -1.35107002e-02
 -8.97167567e-04  8.61650994e-02 -8.78804586e-02 -3.02177801e-02
 -9.22231994e-01 -2.05204602e-02 -4.85758205e-02  3.42488001e-02
  7.54060596e-02 -1.06265400e-01 -7.35148007e-02 -7.32907008e-02
 -4.24766611e-02  1.15040001e-02  2.54943606e-02  4.75785410e-02
 -1.81708401e-02  5.87502000e-02 -4.47816089e-03 -5.57109804e-02
  6.23179993e-02 -6.14233396e-02  1.69404596e-05  1.12866480e-01
 -3.32026543e-02  2.24144146e-03 -6.54316402e-02  2.83548807e-02
 -1.12428441e-03 -3.32744058e-03  3.04414789e-02  1.34398999e-01
 -2.14525639e-01 -2.93275607e-02  4.34600595e-02 -2.10222189e-02
  5.18140419e-02  7.76019618e-04  8.97574194e-02 -5.23391066e-03
 -3.41118201e-02 -5.32681972e-03]",good,value judgements,0,0,0,0,0,1
